date,cash,regime,note,BTCUSDT_qty,BTCUSDT_equity,ETHUSDT_qty,ETHUSDT_equity,XRPUSDT_qty,XRPUSDT_equity,SOLUSDT_qty,SOLUSDT_equity,ADAUSDT_qty,ADAUSDT_equity,DOGEUSDT_qty,DOGEUSDT_equity,HBARUSDT_qty,HBARUSDT_equity,TRXUSDT_qty,TRXUSDT_equity,LINKUSDT_qty,LINKUSDT_equity,XLMUSDT_qty,XLMUSDT_equity,VIRTUALUSDT_qty,VIRTUALUSDT_equity,SUIUSDT_qty,SUIUSDT_equity,HUMAUSDT_qty,HUMAUSDT_equity,PEPEUSDT_qty,PEPEUSDT_equity,portfolio_equity,btc_drawdown,buy_frozen,holdings_str
7/25/2025,4923.575841,,,0.017100187,2011.226644,3.386317986,12613.89905,0,0,17.55805147,3279.141693,0,0,0,0,0,0,0,0,59.26723543,1083.405064,0,0,0,0,0,0,0,0,0,0,23911.24829,0.013450359,FALSE,"BTCUSDT, ETHUSDT, SOLUSDT, LINKUSDT"
7/26/2025,0,,,0,0,3.645129221,13636.79293,0,0,17.55805147,3246.132556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781.142819,7408.663555,0,0,0,0,24291.58904,0.019508327,FALSE,"ETHUSDT, SOLUSDT, SUIUSDT"
7/27/2025,0,,,0,0,0,0,0,0,17.55805147,3312.150829,0,0,0,0,11573.2245,3375.909588,32317.54852,10338.38377,0,0,0,0,0,0,1781.142819,7705.223834,0,0,0,0,24731.66802,0.016960025,FALSE,"SOLUSDT, HBARUSDT, TRXUSDT, SUIUSDT"
7/28/2025,0,,,0.049673167,5864.529383,0,0,0,0,0,0,0,0,0,0,11573.2245,3142.47765,24054.40926,7755.141547,0,0,0,0,0,0,1781.142819,6961.418593,0,0,0,0,23723.56717,0.00449229,FALSE,"BTCUSDT, HBARUSDT, TRXUSDT, SUIUSDT"
7/29/2025,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73386.49231,24841.32765,0,0,0,0,0,0,0,0,0,0,0,0,24841.32765,0.015773491,FALSE,TRXUSDT
7/30/2025,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73386.49231,24026.73758,0,0,0,0,0,0,0,0,0,0,0,0,24026.73758,0.016703511,FALSE,TRXUSDT
7/31/2025,0,,,0,0,0.469215408,1735.341571,0,0,0,0,0,0,0,0,0,0,67904.27587,22068.88966,0,0,0,0,0,0,0,0,0,0,0,0,23804.23123,0.017624361,FALSE,"ETHUSDT, TRXUSDT"
8/1/2025,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73222.46768,23680.14605,0,0,0,0,0,0,0,0,0,0,0,0,23680.14605,0.034932769,FALSE,TRXUSDT
8/2/2025,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73222.46768,23584.95684,0,0,0,0,0,0,0,0,0,0,0,0,23584.95684,0.055491828,TRUE,TRXUSDT
8/3/2025,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73222.46768,23980.35816,0,0,0,0,0,0,0,0,0,0,0,0,23980.35816,0.061757374,TRUE,TRXUSDT
8/4/2025,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73222.46768,24368.43724,0,0,0,0,0,0,0,0,0,0,0,0,24368.43724,0.04789836,FALSE,TRXUSDT
8/5/2025,14968.8278,,,0.027116384,3094.786131,0.838453309,3028.493353,0,0,0,0,0,0,0,0,0,0,9329.503604,3114.188303,0,0,0,0,0,0,0,0,0,0,0,0,24206.29558,0.040843764,FALSE,"BTCUSDT, ETHUSDT, TRXUSDT"
8/6/2025,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72354.51627,24405.17834,0,0,0,0,0,0,0,0,0,0,0,0,24405.17834,0.04855736,FALSE,TRXUSDT
8/7/2025,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72354.51627,24484.76831,0,0,0,0,0,0,0,0,0,0,0,0,24484.76831,0.041366963,FALSE,TRXUSDT
8/8/2025,12230.29653,,,0.029617744,3455.64259,1.268554339,5086.26862,0,0,0,0,0,0,0,0,0,0,11100.59964,3749.782557,0,0,0,0,0,0,0,0,0,0,0,0,24521.9903,0.020694611,FALSE,"BTCUSDT, ETHUSDT, TRXUSDT"
8/9/2025,9167.207805,,,0.018937636,2205.519642,1.202110781,5121.737237,0,0,0,0,0,0,0,0,0,0,7566.422445,2536.264804,289.2162687,6345.404934,0,0,0,0,0,0,0,0,0,0,25376.13442,0.027341052,FALSE,"BTCUSDT, ETHUSDT, TRXUSDT, LINKUSDT"
8/10/2025,7560.727391,,,0.012006961,1432.35856,1.553117789,6601.63588,0,0,0,0,0,0,0,0,0,0,4621.830964,1563.565415,375.5785272,8285.262311,0,0,0,0,0,0,0,0,0,0,25443.54956,0.029112475,FALSE,"BTCUSDT, ETHUSDT, TRXUSDT, LINKUSDT"
8/11/2025,3751.570075,,,0.031552997,3744.899052,1.476469657,6235.456184,0,0,0,0,0,0,0,0,0,0,4747.804781,1637.99265,454.9847818,9586.529353,0,0,0,0,0,0,0,0,0,0,24956.44731,0.005505508,FALSE,"BTCUSDT, ETHUSDT, TRXUSDT, LINKUSDT"
8/12/2025,998.016755,,,0.033252716,3994.784473,1.723280028,7910.751436,0,0,0,0,0,0,0,0,0,0,9107.179823,3209.37017,454.9847818,10737.64085,0,0,0,0,0,0,0,0,0,0,26850.56368,0.010574183,FALSE,"BTCUSDT, ETHUSDT, TRXUSDT, LINKUSDT"
8/13/2025,3848.029296,,,0.026479387,3265.078726,1.595406893,7577.065958,0,0,0,0,0,0,0,0,0,0,8483.481612,3071.868692,402.6450334,9655.427902,0,0,0,0,0,0,0,0,0,0,27417.47057,0,FALSE,"BTCUSDT, ETHUSDT, TRXUSDT, LINKUSDT"
8/14/2025,0,,,0.026479387,3132.381513,1.595406893,7254.059878,0,0,22.26112709,4284.599131,0,0,0,0,0,0,8483.481612,3032.844676,375.618903,8436.400561,0,0,0,0,0,0,0,0,0,0,26140.28576,0,FALSE,"BTCUSDT, ETHUSDT, SOLUSDT, TRXUSDT, LINKUSDT"
8/15/2025,0,,,0.017125299,2009.517653,1.595406893,7082.76104,0,0,22.26112709,4134.336523,3274.820035,3095.687379,0,0,0,0,8483.481612,2991.275616,289.3570921,6296.410325,0,0,0,0,0,0,0,0,0,0,25609.98854,0.040641352,FALSE,"BTCUSDT, ETHUSDT, SOLUSDT, ADAUSDT, TRXUSDT, LINKUSDT"
8/16/2025,0,,,0.017125299,2010.178861,1.197105351,5293.58789,0,0,20.13015336,3816.677077,12189.06946,11227.35188,0,0,0,0,8483.481612,2950.554905,0,0,0,0,0,0,0,0,0,0,0,0,25298.35061,0.048370389,FALSE,"BTCUSDT, ETHUSDT, SOLUSDT, ADAUSDT, TRXUSDT"
8/17/2025,0,,,0,0,1.197105351,5353.850173,0,0,20.13015336,3844.65799,14362.72292,13801.14045,0,0,0,0,8483.481612,2998.062402,0,0,0,0,0,0,0,0,0,0,0,0,25997.71101,0.048057267,FALSE,"ETHUSDT, SOLUSDT, ADAUSDT, TRXUSDT"
8/18/2025,0,,,0,0,0.917777518,3958.365257,0,0,20.13015336,3682.610256,14362.72292,13265.41089,0,0,0,0,8483.481612,2971.763609,48.52800297,1251.051917,0,0,0,0,0,0,0,0,0,0,25129.20192,0.047859791,FALSE,"ETHUSDT, SOLUSDT, ADAUSDT, TRXUSDT, LINKUSDT"
